"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Low risk","Low risk",NA,NA,"High risk","Low risk",NA,"High risk","CD000031","Siddiqi 2013"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Simon 2004"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Simon 2009"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","CD000031","Singh 2010"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Smith 2009"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","SMK20001"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Sood 2010"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Sood 2012"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Spring 2007"
"Low risk","Low risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Stapleton 2013"
"Low risk","Low risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Swan 2003"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","CD000031","Swanson 2003"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Tashkin 2001"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Tidey 2011"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Tonnesen 2003"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Tonstad 2003"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Urdapilleta-Herrera 2013"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","CD000031","Uyar 2007"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Wagena 2005"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Weinberger 2008"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Weinberger 2010"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Unclear risk","CD000031","Weiner 2012"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","White 2005"
"Unclear risk","High risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Wittchen 2011"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Zellweger 2005"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Zhang 2022"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"High risk","CD000031","Zincir 2013"
"Low risk","Low risk","Unclear risk",NA,NA,"Low risk",NA,"Unclear risk","CD000219","Appelman 1991"
"Low risk","Low risk","Low risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","Burke 1991"
"Low risk","Low risk","Low risk",NA,NA,"Unclear risk",NA,"Low risk","CD000219","Damoiseaux 2000"
"Unclear risk","Unclear risk","Unclear risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","Halsted 1968"
"Low risk","Low risk","Low risk",NA,NA,"Low risk",NA,"Low risk","CD000219","Hoberman 2011"
"Unclear risk","Low risk","Unclear risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","Howie 1972"
"Unclear risk","Unclear risk","Unclear risk",NA,NA,"Unclear risk",NA,"Low risk","CD000219","Kaleida 1991"
"Unclear risk","Unclear risk","High risk",NA,NA,"Unclear risk",NA,"High risk","CD000219","Laxdal 1970"
"Low risk","Low risk","Low risk",NA,NA,"Low risk",NA,"Low risk","CD000219","Le Saux 2005"
"Unclear risk","Low risk","High risk",NA,NA,"Low risk",NA,"Low risk","CD000219","Little 2001"
"Low risk","Unclear risk","Unclear risk",NA,NA,"Low risk",NA,"Low risk","CD000219","McCormick 2005"
