"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Not applicable","CD010216","Okuyemi 2022"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Oncken 2015"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"High risk","Low risk","Not applicable","CD010216","Ozga-Hess 2019"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","High risk","Not applicable","CD010216","Pacifici 2015"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Unclear risk","Not applicable","CD010216","Polosa 2011*"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Unclear risk","Not applicable","CD010216","Polosa 2014b*"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Unclear risk","Not applicable","CD010216","Polosa 2015*"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Not applicable","CD010216","Pope 2024"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Low risk","Not applicable","CD010216","Pratt 2016"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Pratt 2022"
"High risk","High risk","Not applicable","Not applicable",NA,"High risk","Unclear risk","Not applicable","CD010216","Price 2022"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Low risk","Not applicable","CD010216","Pulvers 2018"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Not applicable","CD010216","Pulvers 2020"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD010216","Rose 2023*"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Russell 2021"
"High risk","High risk","High risk","High risk",NA,"High risk","Unclear risk","Not applicable","CD010216","Scheibein 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk","Not applicable","CD010216","Skelton 2022"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Smith 2020"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Low risk","Not applicable","CD010216","Stein 2016"
"Unclear risk","Unclear risk","Unclear risk","Low risk",NA,"High risk","Low risk","Not applicable","CD010216","Strasser 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Not applicable","CD010216","Tattan-Birch 2023"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Not applicable","CD010216","Tseng 2016"
"High risk","High risk","Not applicable","Not applicable",NA,"Unclear risk","Unclear risk","Not applicable","CD010216","Valentine 2018"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Unclear risk","Not applicable","CD010216","Van Staden 2013*"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Not applicable","CD010216","Vickerman 2022"
"High risk","High risk","Not applicable","Not applicable",NA,"Low risk","Low risk","Not applicable","CD010216","Wadia 2016"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD010216","Wagener 2023"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Not applicable","CD010216","Walele 2018*"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Walker 2020"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"High risk","High risk","Not applicable","CD010216","White 2021"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Xu 2023*"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Not applicable","CD010216","Yingst 2020"
"Low risk",NA,NA,NA,NA,NA,NA,NA,"CD010333","Abou Turk 2009"
NA,"Low risk","High risk","Low risk",NA,"High risk","Low risk","Low risk",NA,"Abou Turk 2009"
"Low risk","Low risk",NA,"Low risk",NA,"Low risk","Low risk",NA,"CD010381","Belohlavek 2022"
"Low risk","Low risk",NA,"Low risk",NA,"Low risk","Low risk",NA,"CD010381","Combes 2018"
"Unclear risk","Low risk",NA,"Unclear risk",NA,"Low risk","Unclear risk",NA,"CD010381","Lackermair 2020"
"Low risk","Low risk",NA,"Low risk",NA,"Low risk","Low risk",NA,"CD010381","Peek 2009"
"Low risk","Low risk",NA,"Low risk",NA,"Low risk","Low risk",NA,"CD010381","Yannopoulos 2020"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Belohlavek 2022"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Combes 2018"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Lackermair 2020"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Peek 2009"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Yannopoulos 2020"
"Low risk",NA,NA,NA,NA,NA,NA,NA,"CD010422","Kapoor 2010"
NA,"Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk",NA,"Kapoor 2010"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk",NA,"CD010429","Forni 2012"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD010429","Fung 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD010429","Morabito 2002"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD010429","Morabito 2016"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD010429","Voskaridou 2003"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD010429","Voskaridou 2018"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Forni 2012"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Fung 2013"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Morabito 2002"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Morabito 2016"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Voskaridou 2003"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Voskaridou 2018"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk",NA,NA,"CD010637","Aydin 2022"
"High risk","High risk","Unclear risk","Unclear risk",NA,"High risk",NA,NA,"CD010637","Hartmann 1997"
"Low risk","Low risk","High risk","Low risk",NA,"High risk",NA,NA,"CD010637","Kahn 2011"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk",NA,NA,"CD010637","Klonizakis 2009"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk",NA,NA,"CD010637","Padberg 2004"
NA,NA,NA,NA,NA,NA,"High risk","Low risk",NA,"Aydin 2022"
NA,NA,NA,NA,NA,NA,"High risk","High risk",NA,"Hartmann 1997"
NA,NA,NA,NA,NA,NA,"Low risk","Low risk",NA,"Kahn 2011"
NA,NA,NA,NA,NA,NA,"High risk","Low risk",NA,"Klonizakis 2009"
NA,NA,NA,NA,NA,NA,"High risk","High risk",NA,"Padberg 2004"
"Unclear risk","Unclear risk","Low risk","High risk",NA,"High risk","Low risk","Unclear risk","CD010639","Amendola 2011"
"Not applicable","Not applicable","Not applicable","High risk",NA,"Unclear risk","Low risk","High risk","CD010639","Axelsson 1998"
"Unclear risk","Unclear risk","Low risk","High risk",NA,"Not applicable","Low risk","Low risk","CD010639","Barger 2019a"
"Not applicable","Not applicable","Not applicable","High risk",NA,"High risk","Low risk","Low risk","CD010639","Barton 1994"
"Low risk","Low risk","Low risk","High risk",NA,"Not applicable","Low risk","Low risk","CD010639","Basner 2019"
"Not applicable","Not applicable","Low risk","High risk",NA,"Unclear risk","Low risk","Low risk","CD010639","Bell 2015"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD010639","Cruz 2003"
"Not applicable","Not applicable","Low risk","High risk",NA,"Unclear risk","Unclear risk","Low risk","CD010639","Garde 2020"
"Not applicable","Not applicable","Not applicable","High risk",NA,"Not applicable","Unclear risk","Low risk","CD010639","Knauth 1998"
"Not applicable","Not applicable","Not applicable","High risk",NA,"High risk","High risk","Low risk","CD010639","Totterdell 1992"
"Not applicable","Not applicable","Not applicable","High risk",NA,"Low risk","High risk","Low risk","CD010639","Viitasalo 2008"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Chee 2021"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Chen 2019"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Conrad-Hengerer 2013"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Conrad-Hengerer 2014"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Conrad-Hengerer 2015"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk",NA,"CD010735","Day 2020"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Dick 2014"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Donnenfeld 2018"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Dzhaber 2020"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Filkorn 2012"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Hansen 2020"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Hida 2014"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Hida 2017"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Kanellopoulos 2016"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Khan 2017"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Kovacs 2014"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Kránitz 2012"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Krarup 2021"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Liu 2021"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Mastropasqua 2014a"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Mastropasqua 2014b"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Menapace 2022"
"Low risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Mursch-Edlmayr 2017"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Nagy 2011"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Nagy 2014"
"Low risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Oka 2021"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Pahlitzsch 2018"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Pajic 2017"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Panthier 2017"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Parra-Rodríguez 2016"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Pedroza 2016"
"Unclear risk","Unclear risk","High risk","High risk",NA,"High risk","Unclear risk",NA,"CD010735","Reddy 2013"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk",NA,"CD010735","Roberts 2019"
"Unclear risk","Low risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Schargus 2015"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk",NA,"CD010735","Schroeter 2021"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Schwarzenbacher 2020"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Schweitzer 2020"
"Low risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Takacs 2012"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD010735","Vasvada 2019"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Yu 2015"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Yu 2016"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD010735","Zhang 2016"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Unclear risk","CD010887","Abellán 2021"
"High risk","High risk","High risk","High risk",NA,"Low risk","High risk","High risk","CD010887","Alam 2019"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk","Unclear risk","CD010887","AlSayed 2017"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD010887","Caccianiga 2017"
"Low risk","High risk","High risk","Low risk",NA,"High risk","Low risk","Low risk","CD010887","El Shehawy 2020"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD010887","Farhadian 2021"
"Low risk","Low risk","High risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD010887","Ghaffer 2022"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD010887","Hasan 2022"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD010887","Katchooi 2018"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","Low risk","CD010887","Kumar 2020"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","Low risk","CD010887","Lalnunpuii 2020"
"Low risk","Low risk","High risk","Low risk",NA,"High risk","High risk","Low risk","CD010887","Lo Giudice 2020"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD010887","Lombardo 2018"
"Low risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD010887","Miles 2012"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD010887","Miles 2016"
"Low risk","Unclear risk","High risk","Low risk",NA,"High risk","Unclear risk","Low risk","CD010887","Nahas 2017"
"Low risk","Low risk","High risk","Low risk",NA,"High risk","Low risk","Low risk","CD010887","NCT02868554"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","High risk","High risk","CD010887","Pavlin 2015"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","Unclear risk","CD010887","Reiss 2020"
"Low risk","Unclear risk","High risk","Low risk",NA,"High risk","Low risk","Low risk","CD010887","Siriphan 2019"
"Low risk","Unclear risk","High risk","High risk",NA,"High risk","High risk","Low risk","CD010887","Taha 2020"
"Unclear risk","Unclear risk","High risk","High risk",NA,"High risk","Low risk","Low risk","CD010887","Telatar 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD010887","Woodhouse 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD010966","Barry 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD010966","Boyle 2014"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Low risk","CD010966","Clancy 2012"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD010966","Davies 2018a"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD010966","Davies 2018b"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","Davies 2021"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD010966","Donaldson 2014"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD010966","Donaldson 2017"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD010966","Donaldson 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD010966","Heijerman 2019"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD010966","Horsley 2017"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD010966","Keating 2018"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD010966","McCarty 2002"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Low risk","CD010966","McKone 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD010966","Middleton 2019"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","Munck 2020"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","NCT02070744"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","NCT02508207"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD010966","NCT02730208"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD010966","NCT02951182"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","High risk","CD010966","NCT02951195"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","NCT03447249"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Unclear risk","CD010966","NCT03460990"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD010966","PROGRESS 2017"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD010966","Ratjen 2017"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD010966","Rubenstein 1998"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD010966","Schwarz 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD010966","Stahl 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD010966","Sutharsan 2022"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk","Low risk","CD010966","Taylor-Cousar 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk","Low risk","CD010966","TRAFFIC 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk","Low risk","CD010966","TRANSPORT 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Low risk","CD010966","Wilson 2021"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD010966","Zeitlin 2002"
"Low risk",NA,NA,NA,NA,NA,NA,NA,"CD011022","Ho 2020"
NA,"Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk",NA,"Ho 2020"
"Unclear risk","Low risk",NA,NA,NA,NA,NA,NA,"CD011039","Ginès 2002"
"Low risk","Unclear risk",NA,NA,NA,NA,NA,NA,"CD011039","Rössle 2000"
NA,NA,"High risk","High risk",NA,"Low risk","Low risk","Low risk",NA,"Ginès 2002"
NA,NA,"High risk","High risk",NA,"Low risk","Low risk","Low risk",NA,"Rössle 2000"
"Unclear risk","Unclear risk","High risk","High risk",NA,"High risk","Unclear risk","High risk","CD011159","Babalola 2019"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD011159","Biswas 2017"
"Low risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD011159","Brody 2022"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"High risk","Unclear risk","High risk","CD011159","Bull 2016"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Unclear risk","High risk","CD011159","Castano 2012"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","Unclear risk","High risk","CD011159","Chernick 2017"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD011159","Francis 2015"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD011159","Harrington 2019"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011159","Hebert 2018"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD011159","Hou 2010"
"High risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011159","Johnson 2017"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011159","McCarthy 2018"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011159","McCarthy 2019a"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011159","McCarthy 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","High risk","CD011159","Nuwamanya 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011159","Reiss 2019"
"Low risk","Low risk","High risk","High risk",NA,"High risk","Low risk","High risk","CD011159","Rinehart 2020"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011159","Rokicki 2017"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","High risk","CD011159","Smith 2015b"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011159","Trent 2013"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","Unclear risk","High risk","CD011159","Tsur 2008"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011159","Unger 2018"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","Unclear risk","High risk","CD011159","Wilkinson 2017"
"Low risk","Unclear risk","High risk",NA,NA,NA,NA,NA,"CD011203","CAMMS223"
"Low risk","Low risk","High risk",NA,NA,NA,NA,NA,"CD011203","CARE-MS I"
"Low risk","Low risk","High risk",NA,NA,NA,NA,NA,"CD011203","CARE-MS II"
NA,NA,"High risk","Low risk",NA,"High risk","Low risk","Low risk",NA,"CAMMS223"
NA,NA,"High risk","Low risk",NA,"High risk","Low risk","Low risk",NA,"CARE-MS I"
NA,NA,"High risk","Low risk",NA,"High risk","High risk","Low risk",NA,"CARE-MS II"
"Unclear risk","Low risk","High risk","High risk",NA,"High risk","Unclear risk","Low risk","CD011218","Bojesen 2020"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Dunton 1990"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Ehrlich 2010"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","Low risk","CD011218","Farmer 2010a"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Fernandez 2008"
"Unclear risk","Unclear risk","High risk","High risk",NA,"High risk","Unclear risk","Low risk","CD011218","Gemson 1995"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Hempel 1992"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Johnston 2002"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Jones 2012"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Kreuter 1996"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD011218","Sommers 2013"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","High risk","Low risk","CD011218","Stevens 2002"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD011218","Suffoletto 2022"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Sullman 2019"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD011218","Zhang 2020"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011272","Bissler 2013 (EXIST 2)"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011272","Franz 2013 (EXIST 1)"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD011272","French 2016 (EXIST 3)"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD011272","Koenig 2012"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD011272","Koenig 2018"
"Low risk","Low risk","Low risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD011272","Krueger 2017"
"Low risk","Low risk","High risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD011272","Overwater 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011272","Overwater 2019"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011272","Wataya-Kaneda 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011272","Wataya-Kaneda 2018"
"Low risk","Low risk",NA,"Low risk",NA,"Low risk","Low risk","Unclear risk","CD011334","Ashby 2012"
"Unclear risk","Unclear risk",NA,"High risk",NA,"Low risk","Low risk","Unclear risk","CD011334","de Laat 2011"
"Low risk","Unclear risk",NA,"Unclear risk",NA,"High risk","Low risk","High risk","CD011334","Dwivedi 2016"
"Low risk","Unclear risk",NA,"Unclear risk",NA,"High risk","Low risk","High risk","CD011334","Dwivedi 2017"
"Unclear risk","Unclear risk",NA,"Low risk",NA,"High risk","Low risk","High risk","CD011334","Ford 2002"
"Unclear risk","Unclear risk",NA,"Unclear risk",NA,"High risk","Unclear risk","Unclear risk","CD011334","Niezgoda 2004"
"Unclear risk","Unclear risk",NA,"Unclear risk",NA,"Low risk","Low risk","Low risk","CD011334","Şahin 2022"
"Unclear risk","Unclear risk",NA,"Unclear risk",NA,"Low risk","Low risk","High risk","CD011334","Tang 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Capogna 2011"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011344","Chalekar 2021"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011344","Chua 2004"
