Cochrane.Review.ID	Author.s.	Title	Year	Keywords	DOI	URL	Cochrane.Review.Group.Code	base_id	version
CD001930.PUB3	Macdonald, G; Higgins, JPT; Ramchandani, P; Valentine, JC; Bronger, LP; Klein, P; O'Daniel, R; Pickering, M; Rademaker, B; Richardson, G; Taylor, M	Cognitive‐behavioural interventions for children who have been sexually abused	2012	Adolescent; Child; Child Abuse, Sexual [psychology, *therapy]; Child, Preschool; Cognitive Behavioral Therapy [*methods]; Female; Humans; Infant; Male; Randomized Controlled Trials as Topic	10.1002/14651858.CD001930.pub3	http://dx.doi.org/10.1002/14651858.CD001930.pub3	Developmental, Psychosocial and Learning Problems	CD001930	3
CD001932	Price, JD; Hermans, D; Grimley Evans, J	Subjective barriers to prevent wandering of cognitively impaired people	2001	*Architectural Accessibility; Aged; Caregivers [psychology]; Cognition Disorders [*psychology]; Dementia [*psychology]; Floors and Floorcoverings; Humans; Orientation; Walking	10.1002/14651858.CD001932	http://dx.doi.org/10.1002/14651858.CD001932	Dementia and Cognitive Improvement	CD001932	1
CD001933.PUB3	Vaile, L; Williamson, T; Waddell, A; Taylor, GJ	Interventions for ear discharge associated with grommets (ventilation tubes)	2016	Adult; Amoxicillin-Potassium Clavulanate Combination [therapeutic use]; Anti-Bacterial Agents [*therapeutic use]; Cerebrospinal Fluid Otorrhea [*drug therapy]; Child; Ciprofloxacin [therapeutic use]; Dexamethasone [therapeutic use]; Drug Combinations; Humans; Hydrocortisone [therapeutic use]; Middle Ear Ventilation [*adverse effects]; Neomycin [therapeutic use]; Otitis Media, Suppurative [drug therapy, surgery]; Polymyxin B [therapeutic use]; Randomized Controlled Trials as Topic; Tympanic Membrane Perforation	10.1002/14651858.CD001933.pub3	http://dx.doi.org/10.1002/14651858.CD001933.pub3	ENT	CD001933	3
CD001934.PUB2	Pedersen, M; McGlashan, J	Surgical versus non‐surgical interventions for vocal cord nodules	2012	*Vocal Cords; Humans; Laryngeal Diseases [*therapy]	10.1002/14651858.CD001934.pub2	http://dx.doi.org/10.1002/14651858.CD001934.pub2	ENT	CD001934	2
CD001935.PUB3	Simpson, SA; Lewis, R; van der Voort, J; Butler, CC	Oral or topical nasal steroids for hearing loss associated with otitis media with effusion in children	2011	Administration, Intranasal; Administration, Oral; Anti‐Bacterial Agents [administration & dosage]; Child; Combined Modality Therapy [methods]; Deafness [*drug therapy, etiology]; Glucocorticoids [*administration & dosage, adverse effects]; Humans; Otitis Media with Effusion [complications, *drug therapy]; Randomized Controlled Trials as Topic	10.1002/14651858.CD001935.pub3	http://dx.doi.org/10.1002/14651858.CD001935.pub3	ENT	CD001935	3
CD001936.PUB2	Calderon, MA; Alves, B; Jacobson, M; Hurwitz, B; Sheikh, A; Durham, S	Allergen injection immunotherapy for seasonal allergic rhinitis	2007	Allergens [*administration & dosage]; Desensitization, Immunologic [adverse effects, *methods]; Humans; Injections, Subcutaneous; Pollen [adverse effects, immunology]; Randomized Controlled Trials as Topic; Rhinitis, Allergic, Seasonal [*therapy]	10.1002/14651858.CD001936.pub2	http://dx.doi.org/10.1002/14651858.CD001936.pub2	ENT	CD001936	2
CD001938.PUB2	Segal, JB; McNamara, R; Miller, M; Powe, N; Goodman, SN; Robinson, KA; Bass, EB	Anticoagulants or antiplatelet therapy for non‐rheumatic atrial fibrillation and flutter	2006	Anticoagulants [*therapeutic use]; Atrial Fibrillation [*complications]; Atrial Flutter [*complications]; Confidence Intervals; Hemorrhage [etiology, *prevention & control]; Humans; Odds Ratio; Platelet Aggregation Inhibitors [*therapeutic use]; Randomized Controlled Trials as Topic; Stroke [etiology, *prevention & control]; Thromboembolism [etiology, *prevention & control]	10.1002/14651858.CD001938.pub2	http://dx.doi.org/10.1002/14651858.CD001938.pub2	Heart	CD001938	2
CD001939.PUB4	Gluud, LL; Dam, G; Les, I; Marchesini, G; Borre, M; Aagaard, NK; Vilstrup, H	Branched‐chain amino acids for people with hepatic encephalopathy	2017	Administration, Oral; Amino Acids, Branched‐Chain [adverse effects, *therapeutic use]; Bias; Diarrhea [etiology]; Female; Hepatic Encephalopathy [*drug therapy, mortality]; Humans; Injections, Intravenous; Male; Nausea [etiology]; Quality of Life; Randomized Controlled Trials as Topic	10.1002/14651858.CD001939.pub4	http://dx.doi.org/10.1002/14651858.CD001939.pub4	Hepato-Biliary	CD001939	4
CD001940	Liu, JP; McIntosh, H; Lin, H	Chinese medicinal herbs for chronic hepatitis B	2000	Drugs, Chinese Herbal [*therapeutic use]; Female; Hepatitis B, Chronic [*drug therapy]; Humans; Male; Randomized Controlled Trials as Topic	10.1002/14651858.CD001940	http://dx.doi.org/10.1002/14651858.CD001940	Hepato-Biliary	CD001940	1
CD001941.PUB3	Annane, D; Orlikowski, D; Chevret, S	Nocturnal mechanical ventilation for chronic hypoventilation in patients with neuromuscular and chest wall disorders	2014	*Respiration, Artificial [mortality]; Chronic Disease; Humans; Hypoventilation [etiology, mortality, *therapy]; Motor Neuron Disease [complications]; Muscular Dystrophy, Duchenne [complications]; Neuromuscular Diseases [*complications]; Randomized Controlled Trials as Topic; Sleep; Thoracic Wall [abnormalities]; Time Factors	10.1002/14651858.CD001941.pub3	http://dx.doi.org/10.1002/14651858.CD001941.pub3	Neuromuscular	CD001941	3
CD001942.PUB5	Madhok, VB; Gagyor, I; Daly, F; Somasundara, D; Sullivan, M; Gammie, F; Sullivan, F	Corticosteroids for Bell's palsy (idiopathic facial paralysis)	2016	Anti‐Inflammatory Agents [*therapeutic use]; Bell Palsy [*drug therapy]; Cortisone [*analogs & derivatives, therapeutic use]; Glucocorticoids [adverse effects, *therapeutic use]; Humans; Methylprednisolone [therapeutic use]; Prednisolone [therapeutic use]; Prednisone [therapeutic use]; Randomized Controlled Trials as Topic; Recovery of Function; Vitamins [therapeutic use]	10.1002/14651858.CD001942.pub5	http://dx.doi.org/10.1002/14651858.CD001942.pub5	Neuromuscular	CD001942	5
CD001943.PUB2	Chakrabarti, A; Bagnall, AM; Chue, P; Fenton, M; Palanisamy, V; Wong, W; Xia, J	Loxapine for schizophrenia	2007	Antipsychotic Agents [adverse effects, *therapeutic use]; Dopamine Antagonists [adverse effects, *therapeutic use]; Humans; Loxapine [adverse effects, *therapeutic use]; Randomized Controlled Trials as Topic; Schizophrenia [*drug therapy]	10.1002/14651858.CD001943.pub2	http://dx.doi.org/10.1002/14651858.CD001943.pub2	Schizophrenia	CD001943	2
CD001944.PUB2	Fenton, M; Rathbone, J; Reilly, J	Thioridazine for schizophrenia	2007	Antipsychotic Agents [adverse effects, *therapeutic use]; Arrhythmias, Cardiac [chemically induced]; Humans; Outcome Assessment, Health Care; Randomized Controlled Trials as Topic; Schizophrenia [*drug therapy]; Thioridazine [adverse effects, *therapeutic use]; Treatment Outcome	10.1002/14651858.CD001944.pub2	http://dx.doi.org/10.1002/14651858.CD001944.pub2	Schizophrenia	CD001944	2
